date,cases
10/16/2012,434
10/17/2012,383
10/18/2012,373
10/19/2012,360
10/20/2012,365
10/21/2012,377
10/22/2012,439
10/23/2012,405
10/24/2012,399
10/25/2012,374
10/26/2012,359
10/27/2012,398
10/28/2012,387
10/29/2012,496
10/30/2012,436
10/31/2012,398
11/01/2012,361
11/02/2012,363
11/03/2012,375
11/04/2012,388
11/05/2012,461
11/06/2012,418
11/07/2012,390
11/08/2012,413
11/09/2012,388
11/10/2012,381
11/11/2012,386
11/12/2012,453
11/13/2012,398
11/14/2012,437
11/15/2012,448
11/16/2012,421
11/17/2012,342
11/18/2012,379
11/19/2012,521
11/20/2012,447
11/21/2012,408
11/22/2012,409
11/23/2012,384
11/24/2012,374
11/25/2012,394
11/26/2012,485
11/27/2012,444
11/28/2012,409
11/29/2012,402
11/30/2012,412
12/01/2012,361
12/02/2012,385
12/03/2012,475
12/04/2012,434
12/05/2012,393
12/06/2012,377
12/07/2012,394
12/08/2012,364
12/09/2012,391
12/10/2012,486
12/11/2012,429
12/12/2012,369
12/13/2012,407
12/14/2012,412
12/15/2012,409
12/16/2012,396
12/17/2012,464
12/18/2012,410
12/19/2012,409
12/20/2012,424
12/21/2012,403
12/22/2012,367
12/23/2012,399
12/24/2012,464
12/25/2012,420
12/26/2012,454
12/27/2012,442
12/28/2012,392
12/29/2012,413
12/30/2012,402
12/31/2012,443
01/01/2013,499
01/02/2013,459
01/03/2013,438
01/04/2013,437
01/05/2013,377
01/06/2013,380
01/07/2013,500
01/08/2013,388
01/09/2013,388
01/10/2013,413
01/11/2013,411
01/12/2013,361
01/13/2013,399
01/14/2013,484
01/15/2013,417
01/16/2013,397
01/17/2013,369
01/18/2013,399
01/19/2013,342
01/20/2013,368
01/21/2013,446
01/22/2013,423
01/23/2013,400
01/24/2013,395
01/25/2013,382
01/26/2013,371
01/27/2013,378
01/28/2013,470
01/29/2013,403
01/30/2013,428
01/31/2013,399
02/01/2013,378
02/02/2013,355
02/03/2013,380
02/04/2013,443
02/05/2013,363
02/06/2013,370
02/07/2013,337
02/08/2013,372
02/09/2013,353
02/10/2013,331
02/11/2013,427
02/12/2013,505
02/13/2013,538
02/14/2013,399
02/15/2013,410
02/16/2013,363
02/17/2013,410
02/18/2013,508
02/19/2013,457
02/20/2013,410
02/21/2013,404
02/22/2013,421
02/23/2013,403
02/24/2013,395
02/25/2013,507
02/26/2013,404
02/27/2013,465
02/28/2013,427
03/01/2013,438
03/02/2013,384
03/03/2013,413
03/04/2013,513
03/05/2013,401
03/06/2013,424
03/07/2013,372
03/08/2013,424
03/09/2013,427
03/10/2013,385
03/11/2013,483
03/12/2013,439
03/13/2013,429
03/14/2013,398
03/15/2013,397
03/16/2013,410
03/17/2013,398
03/18/2013,501
03/19/2013,445
03/20/2013,389
03/21/2013,416
03/22/2013,414
03/23/2013,424
03/24/2013,424
03/25/2013,480
03/26/2013,384
03/27/2013,392
03/28/2013,398
03/29/2013,374
03/30/2013,418
03/31/2013,407
04/01/2013,469
04/02/2013,418
04/03/2013,397
04/04/2013,402
04/05/2013,425
04/06/2013,389
04/07/2013,385
04/08/2013,484
04/09/2013,407
04/10/2013,419
04/11/2013,420
04/12/2013,354
04/13/2013,328
04/14/2013,348
04/15/2013,460
04/16/2013,438
04/17/2013,401
04/18/2013,416
04/19/2013,380
04/20/2013,416
04/21/2013,395
04/22/2013,492
04/23/2013,444
04/24/2013,421
04/25/2013,403
04/26/2013,360
04/27/2013,375
04/28/2013,388
04/29/2013,495
04/30/2013,452
05/01/2013,415
05/02/2013,459
05/03/2013,451
05/04/2013,402
05/05/2013,394
05/06/2013,482
05/07/2013,404
05/08/2013,388
05/09/2013,397
05/10/2013,441
05/11/2013,395
05/12/2013,413
05/13/2013,508
05/14/2013,427
05/15/2013,426
05/16/2013,403
05/17/2013,393
05/18/2013,391
05/19/2013,367
05/20/2013,500
05/21/2013,382
05/22/2013,410
05/23/2013,393
05/24/2013,347
05/25/2013,388
05/26/2013,381
05/27/2013,473
05/28/2013,438
05/29/2013,376
05/30/2013,435
05/31/2013,401
06/01/2013,404
06/02/2013,391
06/03/2013,511
06/04/2013,410
06/05/2013,394
06/06/2013,385
06/07/2013,399
06/08/2013,353
06/09/2013,402
06/10/2013,441
06/11/2013,421
06/12/2013,401
06/13/2013,405
06/14/2013,426
06/15/2013,380
06/16/2013,364
06/17/2013,496
06/18/2013,391
06/19/2013,383
06/20/2013,380
06/21/2013,413
06/22/2013,376
06/23/2013,417
06/24/2013,522
06/25/2013,455
06/26/2013,399
06/27/2013,422
06/28/2013,417
06/29/2013,382
06/30/2013,396
07/01/2013,471
07/02/2013,411
07/03/2013,399
07/04/2013,402
07/05/2013,403
07/06/2013,398
07/07/2013,386
07/08/2013,518
07/09/2013,409
07/10/2013,411
07/11/2013,398
07/12/2013,398
07/13/2013,365
07/14/2013,358
07/15/2013,438
07/16/2013,385
07/17/2013,350
07/18/2013,369
07/19/2013,384
07/20/2013,358
07/21/2013,354
07/22/2013,454
07/23/2013,392
07/24/2013,370
07/25/2013,401
07/26/2013,351
07/27/2013,324
07/28/2013,384
07/29/2013,434
07/30/2013,397
07/31/2013,357
08/01/2013,339
08/02/2013,334
08/03/2013,354
08/04/2013,365
08/05/2013,392
08/06/2013,378
08/07/2013,353
08/08/2013,352
08/09/2013,364
08/10/2013,408
08/11/2013,364
08/12/2013,463
08/13/2013,368
08/14/2013,416
08/15/2013,414
08/16/2013,360
08/17/2013,342
08/18/2013,359
08/19/2013,467
08/20/2013,380
08/21/2013,367
08/22/2013,425
08/23/2013,407
08/24/2013,385
08/25/2013,362
08/26/2013,469
08/27/2013,434
08/28/2013,364
08/29/2013,412
08/30/2013,348
08/31/2013,398
09/01/2013,367
09/02/2013,443
09/03/2013,393
09/04/2013,352
09/05/2013,345
09/06/2013,323
09/07/2013,357
09/08/2013,354
09/09/2013,460
09/10/2013,394
09/11/2013,378
09/12/2013,388
09/13/2013,389
09/14/2013,394
09/15/2013,361
09/16/2013,474
09/17/2013,406
09/18/2013,370
09/19/2013,388
09/20/2013,382
09/21/2013,373
09/22/2013,379
09/23/2013,443
09/24/2013,421
09/25/2013,425
09/26/2013,368
09/27/2013,378
09/28/2013,354
09/29/2013,375
09/30/2013,430
10/01/2013,388
10/02/2013,381
10/03/2013,356
10/04/2013,369
10/05/2013,360
10/06/2013,375
10/07/2013,458
10/08/2013,431
10/09/2013,398
10/10/2013,398
10/11/2013,385
10/12/2013,415
10/13/2013,366
10/14/2013,428
10/15/2013,346
10/16/2013,442
10/17/2013,395
10/18/2013,388
10/19/2013,353
10/20/2013,390
10/21/2013,457
10/22/2013,391
10/23/2013,385
10/24/2013,377
10/25/2013,384
10/26/2013,370
10/27/2013,364
10/28/2013,438
10/29/2013,406
10/30/2013,386
10/31/2013,332
11/01/2013,383
11/02/2013,361
11/03/2013,380
11/04/2013,465
11/05/2013,416
11/06/2013,382
11/07/2013,390
11/08/2013,415
11/09/2013,378
11/10/2013,354
11/11/2013,475
11/12/2013,372
11/13/2013,409
11/14/2013,352
11/15/2013,360
11/16/2013,372
11/17/2013,401
11/18/2013,454
11/19/2013,410
11/20/2013,366
11/21/2013,414
11/22/2013,360
11/23/2013,391
11/24/2013,398
11/25/2013,457
11/26/2013,375
11/27/2013,415
11/28/2013,354
11/29/2013,374
11/30/2013,337
12/01/2013,405
12/02/2013,420
12/03/2013,370
12/04/2013,356
12/05/2013,405
12/06/2013,371
12/07/2013,346
12/08/2013,342
12/09/2013,494
12/10/2013,433
12/11/2013,392
12/12/2013,380
12/13/2013,429
12/14/2013,361
12/15/2013,403
12/16/2013,442
12/17/2013,437
12/18/2013,377
12/19/2013,364
12/20/2013,371
12/21/2013,379
12/22/2013,364
12/23/2013,442
12/24/2013,398
12/25/2013,414
12/26/2013,447
12/27/2013,411
12/28/2013,372
12/29/2013,381
12/30/2013,465
12/31/2013,366
01/01/2014,429
01/02/2014,419
01/03/2014,431
01/04/2014,397
01/05/2014,385
01/06/2014,441
01/07/2014,441
01/08/2014,398
01/09/2014,375
01/10/2014,385
01/11/2014,362
01/12/2014,352
01/13/2014,463
01/14/2014,379
01/15/2014,377
01/16/2014,372
01/17/2014,380
